Vessel,Port,Agent,Date,Carrier
IZUMO V.122W                             ,    INMAA     ,    SHIWOLO         ,    2014-05-12  ,    COLLYER SHIPPING PTE LTD           
ITAL FULGIDA V.0454-049W                 ,    MYMYY     ,    PENSHPT         ,    2014-05-12  ,    EVERGREEN SHIPPING AGENCY (S) P/L  
SCI CHENNAI V.342E                       ,    CNSHA     ,    SHIWOLO         ,    2014-05-13  ,    K LINE (SINGAPORE) PTE LTD         
SCI CHENNAI V.342E                       ,    CNSHA     ,    SHIWOLO         ,    2014-05-13  ,    K LINE (SINGAPORE) PTE LTD         
SCI CHENNAI V.342E                       ,    CNSHA     ,    SHIWOLO         ,    2014-05-13  ,    K LINE (SINGAPORE) PTE LTD         
PAC KALIMANTAN V.1838S                   ,    USLGB     ,    KLISI           ,    2014-05-14  ,    K LINE (SINGAPORE) PTE LTD         
LEDA MAERSK V.451                        ,    FJSUV     ,    PACHALO         ,    2014-05-14  ,    MAERSK SINGAPORE PTE LTD           
XETHA BHUM V.1011N                       ,    VNHPH     ,    NTLNATR         ,    2014-05-12  ,    SIMBA LOGISTICS (S) PTE LTD        
CHINA EXPRESS V.W042                     ,    INNSA     ,    CONCOLI         ,    2014-05-12  ,    CONCORDE CONTAINER LINE PTE LTD    
KOTA HASIL V. HSA001                     ,    PHMNL     ,    ASIGRSE         ,    2014-05-14  ,    CONCORDE CONTAINER LINE PTE LTD    
KOTA HASIL V. HSA001                     ,    PHMNL     ,    WOREXLI         ,    2014-05-13  ,    CONCORDE CONTAINER LINE PTE LTD    
JINYUNHE V.263S                          ,    IDSUB     ,    PACCOFO         ,    2014-05-14  ,    I CARRY CONTAINERS PTE LTD         
JINYUNHE V.263S                          ,    IDSUB     ,    PACCOFO         ,    2014-05-14  ,    I CARRY CONTAINERS PTE LTD         
APL MINNESOTA V.035W                     ,    USLGB     ,    HYUMEMA                        ,    2014-05-12  ,    HYUNDAI MERCHANT MARINE CO. LTD    
APL MINNESOTA V.035W                     ,    USSPQ     ,    APLCOPT                        ,    2014-05-12  ,    APL CO. PTE LTD                    
APL MINNESOTA V.035W                     ,    USSPQ     ,    APLCOPT                        ,    2014-05-12  ,    APL CO. PTE LTD                    
APL MINNESOTA V.035W                     ,    USLGB     ,    HYUMEMA                        ,    2014-05-12  ,    HYUNDAI MERCHANT MARINE CO. LTD    
OOCL LUXEMBOURG V.24W15                  ,    USLGB     ,    OOCSIPT                        ,    2014-05-12  ,    OOCL SINGAPORE PTE LTD             
OOCL LUXEMBOURG V.24W15                  ,    USLGB     ,    OOCSIPT                        ,    2014-05-12  ,    OOCL SINGAPORE PTE LTD             
OOCL LUXEMBOURG V.24W15                  ,    USLGB     ,    OOCSIPT                        ,    2014-05-12  ,    OOCL SINGAPORE PTE LTD             
OOCL LUXEMBOURG V.24W15                  ,    USLGB     ,    OOCSIPT                        ,    2014-05-12  ,    OOCL SINGAPORE PTE LTD             
OOCL LUXEMBOURG V.24W15                  ,    USLAX     ,    OOCSIPT                        ,    2014-05-12  ,    OOCL SINGAPORE PTE LTD             
COSCO SAO PAULO V.009S                   ,    CNNTG     ,    COSSHPT                        ,    2014-05-13  ,    COSTAR SHIPPING PTE LTD            
MOL QUARTZ V.003E16                      ,    GBSOU     ,    OOCSIPT                        ,    2014-05-15  ,    OOCL SINGAPORE PTE LTD             
MOL DEVOTION V.0016S                     ,    JPYOK     ,    MOLSIPT                        ,    2014-05-16  ,    MOL (SINGAPORE) PTE LTD            
PATRAIKOS V.028E                         ,    INBOM     ,    YANSHSI                        ,    2014-05-16  ,    YANGMING (S) PTE LTD               
HYUNDAI SPEED V.010W                     ,    CNSZP     ,    VANLOSE                        ,    2014-05-16  ,    APL CO. PTE LTD                    
SINAR SANGIR V.266S                      ,    BDCGP     ,    CENEXLI                        ,    2014-05-16  ,    SEA CONSORTIUM PTE LTD            

